-- SG    KRG    KROG   PCOG
SGOF
0.45714286 0.05153250 0.03373594 0.00116667
0.46683673 0.05595621 0.03007935 0.00120061
0.47653061 0.06064474 0.02672839 0.00123659
0.48622449 0.06560736 0.02366553 0.00127480
0.49591837 0.07085347 0.02087377 0.00131544
0.50561224 0.07639259 0.01833661 0.00135875
0.51530612 0.08223431 0.01603809 0.00140502
0.52500000 0.08838835 0.01396275 0.00145454
0.53469388 0.09486451 0.01209565 0.00150769
0.54438776 0.10167270 0.01042237 0.00156487
0.55408163 0.10882294 0.00892902 0.00162655
0.56377551 0.11632533 0.00760221 0.00169330
0.57346939 0.12419008 0.00642906 0.00176576
0.58316327 0.13242749 0.00539724 0.00184470
0.59285714 0.14104797 0.00449490 0.00193103
0.60255102 0.15006200 0.00371073 0.00202584
0.61224490 0.15948018 0.00303394 0.00213043
0.62193878 0.16931318 0.00245424 0.00224642
0.63163265 0.17957179 0.00196188 0.00237575
0.64132653 0.19026686 0.00154760 0.00252090
0.65102041 0.20140936 0.00120267 0.00268493
0.66071429 0.21301033 0.00091890 0.00287179
0.67040816 0.22508090 0.00068857 0.00308661
0.68010204 0.23763231 0.00050453 0.00333616
0.68979592 0.25067586 0.00036011 0.00362962
0.69948980 0.26422295 0.00024916 0.00397968
0.70918367 0.27828508 0.00016607 0.00440447
0.71887755 0.29287382 0.00010573 0.00493078
0.72857143 0.30800082 0.00006355 0.00559995
0.73826531 0.32367783 0.00003546 0.00647926
0.74795918 0.33991668 0.00001791 0.00768614
0.75765306 0.35672927 0.00000785 0.00944554
0.76734694 0.37412761 0.00000278 0.01224947
0.77704082 0.39212376 0.00000068 0.01742069
0.78673469 0.41072989 0.00000008 0.03014589
0.79642857 0.42995824 0.00000000 0.11159379
0.80612245 0.44982112 0.00000000 0.95000000
0.81581633 0.47033095 0.00000000 0.95000000
0.82551020 0.49150019 0.00000000 0.95000000
0.83520408 0.51334141 0.00000000 0.95000000
0.84489796 0.53586725 0.00000000 0.95000000
0.85459184 0.55909043 0.00000000 0.95000000
0.86428571 0.58302374 0.00000000 0.95000000
0.87397959 0.60768004 0.00000000 0.95000000
0.88367347 0.63307230 0.00000000 0.95000000
0.89336735 0.65921354 0.00000000 0.95000000
0.90306122 0.68611685 0.00000000 0.95000000
0.91275510 0.71379542 0.00000000 0.95000000
0.92244898 0.74226250 0.00000000 0.95000000
0.93214286 0.77153140 0.00000000 0.95000000
0.94183673 0.80161555 0.00000000 0.95000000
0.95153061 0.83252840 0.00000000 0.95000000
0.96122449 0.86428350 0.00000000 0.95000000
0.97091837 0.89689449 0.00000000 0.95000000
0.98061224 0.93037504 0.00000000 0.95000000
0.99030612 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/

