HEADER		
'time'		'total volume'
UNITS		
's'		'm^3'
35.15625	0.00000064112466913842	
70.31250	0.00000105075466875141	
140.62500	0.00000151930731531623	
281.25000	0.00000229632526345535	
562.50000	0.00000308462428981238	
1125.00000	0.00000386031602998054	
2250.00000	0.00000452841648951929	
4500.00000	0.00000501550800975135	
9000.00000	0.00000534424868127268	
14400.00000	0.00000548872783004538	
14435.15625	0.00000556985686817849	
14470.31250	0.00000564130828426665	
14540.62500	0.00000575323773856321	
14681.25000	0.00000590603002640506	
14962.50000	0.00000608761137884776	
15525.00000	0.00000627996172871649	
16650.00000	0.00000645804768364099	
18900.00000	0.00000664102241288326	
23400.00000	0.00000681887521582780	
28800.00000	0.00000694040599307550	
28835.15625	0.00000700024653906453	
28870.31250	0.00000704575300360189	
28940.62500	0.00000710576125125856	
29081.25000	0.00000717145602862597	
29362.50000	0.00000723667967872734	
29925.00000	0.00000730614378163681	
31050.00000	0.00000737957625909592	
33300.00000	0.00000745978295710230	
37800.00000	0.00000755194014663823	
46800.00000	0.00000765787457035466	
50400.00000	0.00000769280965195989	
50435.15625	0.00000778900016035979	
50470.31250	0.00000784869349723387	
50540.62500	0.00000790942103068630	
50681.25000	0.00000796591620795137	
50962.50000	0.00000802186696655613	
51525.00000	0.00000807607274913656	
52650.00000	0.00000812944956206330	
54900.00000	0.00000818634995725683	
59400.00000	0.00000825405368140033	
68400.00000	0.00000833752590160850	
86400.00000	0.00000843592082975757	
122400.00000	0.00000854023315761436	
136800.00000	0.00000857330081656651	
136835.15625	0.00000863259570490971	
136870.31250	0.00000866108023327669	
136940.62500	0.00000868722029053860	
137081.25000	0.00000871141149991743	
137362.50000	0.00000873373526812414	
137925.00000	0.00000875438268068093	
139050.00000	0.00000877412049247872	
141300.00000	0.00000879462506242822	
145800.00000	0.00000881847939962281	
154800.00000	0.00000884958919872761	
172800.00000	0.00000889133688941779	
208800.00000	0.00000894507132236648	
223200.00000	0.00000896353041932868	
223235.15625	0.00000899892532658555	
223270.31250	0.00000901404864459390	
223340.62500	0.00000902727602694510	
223481.25000	0.00000903922936620919	
223762.50000	0.00000905006868422483	
224325.00000	0.00000906011033384537	
225450.00000	0.00000907000119324199	
227700.00000	0.00000908071879491914	
232200.00000	0.00000909365310332155	
241200.00000	0.00000911130550610151	
259200.00000	0.00000913709367259704	
295200.00000	0.00000917289630976657	
309600.00000	0.00000918532278619121	
309635.15625	0.00000920802655981453	
309670.31250	0.00000921724226029176	
309740.62500	0.00000922515542342020	
309881.25000	0.00000923249297212524	
310162.50000	0.00000923934291562800	
310725.00000	0.00000924580686618604	
311850.00000	0.00000925222490185974	
314100.00000	0.00000925905526489512	
318600.00000	0.00000926734997297327	
327600.00000	0.00000927877221776438	
345600.00000	0.00000929533975013120	
381600.00000	0.00000931942435436892	
396000.00000	0.00000932811768551755	
