HEADER		
'time'		'total volume'
UNITS		
's'	'cm^3'	
16.75402	0.9307787	
16.83394	0.9352188	
16.91369	0.9396492	
16.99369	0.9440939	
17.07441	0.9485784	
17.15636	0.9531311	
17.24005	0.9577807	
17.32616	0.9625645	
17.41541	0.9675225	
17.50864	0.972702	
17.60691	0.9781618	
17.71154	0.9839745	
17.82399	0.9902215	
17.94615	0.997008	
18.06212	1.003451	
18.16838	1.009354	
18.26764	1.014869	
18.36165	1.020092	
18.45167	1.025093	
18.53863	1.029924	
18.62323	1.034624	
18.70602	1.039223	
18.78749	1.043749	
18.8681	1.048227	
18.94826	1.052681	
19.02843	1.057135	
19.10904	1.061613	
19.19058	1.066143	
19.27357	1.070754	
19.35858	1.075477	
19.44634	1.080352	
19.53758	1.085421	
19.63326	1.090737	
19.73456	1.096364	
19.84287	1.102382	
19.9598	1.108877	
20.08363	1.115757	
20.19531	1.121962	
20.29861	1.127701	
20.39574	1.133096	
20.48819	1.138233	
20.57708	1.143171	
20.66323	1.147957	
20.74727	1.152626	
20.82972	1.157206	
20.91105	1.161725	
20.9917	1.166205	
21.07211	1.170673	
21.15272	1.175151	
21.23398	1.179665	
21.31642	1.184246	
21.40056	1.18892	
21.48705	1.193725	
21.57663	1.198702	
21.67014	1.203896	
21.76861	1.209367	
21.87337	1.215187	
21.98588	1.221438	
22.108	1.228222	
22.22608	1.234782	
22.33394	1.240775	
22.43453	1.246363	
22.52967	1.251648	
22.62065	1.256703	
22.70847	1.261581	
22.79384	1.266324	
22.87734	1.270963	
22.95947	1.275526	
23.04068	1.280038	
23.12141	1.284522	
23.2021	1.289005	
23.28318	1.29351	
23.36517	1.298065	
23.44858	1.302699	
23.53397	1.307443	
23.62207	1.312337	
23.71364	1.317424	
23.80962	1.322756	
23.91116	1.328398	
24.0197	1.334428	
24.13683	1.340935	
24.26233	1.347907	
24.37525	1.35418	
24.47956	1.359975	
24.57754	1.365419	
24.67075	1.370597	
24.7603	1.375572	
24.84706	1.380392	
24.93166	1.385092	
25.01464	1.389702	
25.09647	1.394248	
25.17759	1.398755	
25.25845	1.403247	
25.33949	1.407749	
25.42116	1.412287	
25.504	1.416889	
25.58852	1.421585	
25.6754	1.426411	
25.76536	1.431409	
25.85925	1.436625	
25.95811	1.442117	
26.06326	1.447959	
26.17621	1.454234	
26.29879	1.461044	
26.41776	1.467653	
26.52635	1.473686	
26.62757	1.479309	
26.72326	1.484625	
26.81475	1.489708	
26.90303	1.494613	
26.98884	1.49938	
27.07276	1.504042	
27.15529	1.508627	
27.23689	1.51316	
27.31799	1.517666	
27.39906	1.52217	
27.48051	1.526695	
27.56287	1.53127	
27.64665	1.535925	
27.73242	1.54069	
27.82092	1.545607	
27.9129	1.550717	
28.00933	1.556074	
28.11136	1.561742	
28.22044	1.567802	
28.33819	1.574344	
28.46417	1.581342	
28.57751	1.587639	
28.68221	1.593456	
28.78056	1.59892	
28.87412	1.604117	
28.964	1.609111	
29.05108	1.613949	
29.136	1.618666	
29.21929	1.623294	
29.30144	1.627857	
29.38288	1.632382	
29.46405	1.636892	
29.54542	1.641412	
29.62743	1.645968	
29.71062	1.65059	
29.79551	1.655306	
29.88278	1.660155	
29.97318	1.665177	
30.06755	1.670419	
30.16695	1.675941	
30.27271	1.681817	
30.38636	1.688131	
30.50979	1.694988	
30.62882	1.701601	
30.73754	1.707641	
30.83892	1.713273	
30.93479	1.718599	
31.02648	1.723693	
31.11497	1.728609	
31.20099	1.733388	
31.28514	1.738063	
31.36792	1.742662	
31.44977	1.747209	
31.53115	1.75173	
31.61249	1.756249	
31.69425	1.760792	
31.77693	1.765385	
31.86107	1.770059	
31.94723	1.774846	
32.03617	1.779787	
32.12866	1.784925	
32.22565	1.790314	
32.32834	1.796019	
32.4382	1.802122	
32.55687	1.808715	
32.68253	1.815696	
32.79575	1.821986	
32.90042	1.827801	
32.99881	1.833267	
33.09244	1.838469	
33.18244	1.843469	
33.26965	1.848314	
33.35472	1.85304	
33.43819	1.857677	
33.52054	1.862252	
33.60219	1.866788	
33.68361	1.871311	
33.76524	1.875846	
33.84754	1.880419	
33.93106	1.885059	
34.01632	1.889796	
34.10401	1.894667	
34.19489	1.899716	
34.28982	1.90499	
34.38988	1.910548	
34.49642	1.916467	
34.61099	1.922833	
34.73554	1.929752	
34.85407	1.936337	
34.96251	1.942361	
35.06373	1.947985	
35.15953	1.953307	
35.25121	1.958401	
35.33973	1.963318	
35.42583	1.968102	
35.51009	1.972782	
35.59299	1.977388	
35.67502	1.981945	
35.75659	1.986477	
35.83816	1.991009	
35.92018	1.995566	
36.00317	2.000176	
36.08766	2.00487	
36.17424	2.00968	
36.26366	2.014648	
36.35671	2.019817	
36.45438	2.025243	
36.55788	2.030993	
36.6687	2.03715	
36.78853	2.043807	
36.91333	2.050741	
37.02604	2.057002	
37.13039	2.062799	
37.22858	2.068254	
37.3221	2.07345	
37.41205	2.078447	
37.49927	2.083293	
37.58439	2.088021	
37.66794	2.092663	
37.7504	2.097244	
37.83221	2.101789	
37.91381	2.106323	
37.99566	2.11087	
38.07824	2.115458	
38.16208	2.120115	
38.24772	2.124873	
38.33586	2.12977	
38.42727	2.134848	
38.52283	2.140157	
38.62365	2.145758	
38.73111	2.151728	
38.8468	2.158155	
38.97271	2.16515	
39.09034	2.171685	
39.1982	2.177678	
39.29903	2.183279	
39.39458	2.188588	
39.4861	2.193672	
39.57453	2.198585	
39.66059	2.203366	
39.74486	2.208048	
39.82784	2.212657	
39.90996	2.21722	
39.99168	2.22176	
40.07345	2.226303	
40.15572	2.230873	
40.23901	2.2355	
40.32386	2.240214	
40.41089	2.245049	
40.50084	2.250047	
40.59453	2.255252	
40.69297	2.260721	
40.79742	2.266523	
40.90938	2.272743	
41.03061	2.279478	
41.15413	2.28634	
41.26602	2.292557	
41.36983	2.298324	
41.46765	2.303758	
41.56091	2.308939	
41.6507	2.313927	
41.73782	2.318767	
41.8229	2.323494	
41.90646	2.328136	
41.98898	2.332721	
42.07089	2.337272	
42.15266	2.341814	
42.23471	2.346373	
42.31756	2.350975	
42.40172	2.355651	
42.48776	2.360431	
42.5764	2.365356	
42.66841	2.370467	
42.76469	2.375816	
42.86639	2.381466	
42.97493	2.387496	
43.09192	2.393995	
43.21946	2.401081	
43.33585	2.407547	
43.44289	2.413493	
43.54314	2.419063	
43.63827	2.424348	
43.7295	2.429417	
43.81774	2.434319	
43.90369	2.439094	
43.98791	2.443773	
44.07089	2.448382	
44.15307	2.452948	
44.23491	2.457495	
44.31686	2.462047	
44.39937	2.466631	
44.48298	2.471276	
44.56822	2.476012	
44.65574	2.480874	
44.7463	2.485905	
44.84073	2.491151	
44.94007	2.49667	
45.04563	2.502535	
45.15895	2.50883	
45.28185	2.515658	
45.40371	2.522428	
45.51452	2.528584	
45.61758	2.53431	
45.71485	2.539714	
45.80773	2.544874	
45.89724	2.549847	
45.98418	2.554676	
46.06915	2.559397	
46.15267	2.564037	
46.2352	2.568622	
46.31719	2.573177	
46.39909	2.577727	
46.48136	2.582297	
46.56447	2.586915	
46.64899	2.591611	
46.73549	2.596416	
46.82469	2.601371	
46.91738	2.606521	
47.01451	2.611917	
47.11725	2.617625	
47.22707	2.623726	
47.34562	2.630312	
47.47367	2.637426	
47.58862	2.643812	
47.69467	2.649704	
47.79421	2.655234	
47.88883	2.66049	
47.97968	2.665538	
48.06766	2.670426	
48.15344	2.675191	
48.23755	2.679864	
48.3205	2.684472	
48.40272	2.68904	
48.48466	2.693592	
48.56677	2.698154	
48.64953	2.702751	
48.73347	2.707415	
48.81913	2.712174	
48.90719	2.717066	
48.99842	2.722134	
49.09367	2.727426	
49.19403	2.733001	
49.30085	2.738936	
49.4157	2.745317	
49.54051	2.752251	
49.66047	2.758915	
49.77001	2.765001	
49.87217	2.770676	
49.96878	2.776043	
50.06118	2.781176	
50.15034	2.78613	
50.23703	2.790946	
50.32184	2.795658	
50.40528	2.800293	
50.4878	2.804878	
50.56985	2.809436	
50.65188	2.813993	
50.73435	2.818575	
50.81777	2.823209	
50.90268	2.827926	
50.98967	2.832759	
51.07951	2.83775	
51.17298	2.842943	
51.27108	2.848393	
51.37502	2.854168	
51.48633	2.860351	
51.6067	2.867039	
51.7325	2.874027	
51.84599	2.880333	
51.95103	2.886168	
52.04983	2.891657	
52.1439	2.896883	
52.23437	2.901909	
52.32206	2.906781	
52.40764	2.911535	
52.49164	2.916202	
52.57453	2.920807	
52.65677	2.925376	
52.7388	2.929933	
52.82108	2.934504	
52.90408	2.939115	
52.98835	2.943797	
