-- SG    KRG    KROG   PCOG
SGOF
0.38469388 0.01780224 0.14202990 0.00006608
0.39387755 0.01989453 0.13336621 0.00006668
0.40306122 0.02215682 0.12508675 0.00006729
0.41224490 0.02459716 0.11718111 0.00006792
0.42142857 0.02722368 0.10963896 0.00006857
0.43061224 0.03004467 0.10245009 0.00006923
0.43979592 0.03306852 0.09560439 0.00006992
0.44897959 0.03630374 0.08909183 0.00007063
0.45816327 0.03975895 0.08290249 0.00007136
0.46734694 0.04344289 0.07702655 0.00007211
0.47653061 0.04736442 0.07145429 0.00007289
0.48571429 0.05153250 0.06617608 0.00007370
0.49489796 0.05595621 0.06118243 0.00007453
0.50408163 0.06064474 0.05646392 0.00007539
0.51326531 0.06560736 0.05201124 0.00007628
0.52244898 0.07085347 0.04781520 0.00007720
0.53163265 0.07639259 0.04386672 0.00007815
0.54081633 0.08223431 0.04015682 0.00007915
0.55000000 0.08838835 0.03667663 0.00008018
0.55918367 0.09486451 0.03341739 0.00008125
0.56836735 0.10167270 0.03037048 0.00008237
0.57755102 0.10882294 0.02752737 0.00008353
0.58673469 0.11632533 0.02487965 0.00008475
0.59591837 0.12419008 0.02241903 0.00008602
0.60510204 0.13242749 0.02013735 0.00008735
0.61428571 0.14104797 0.01802657 0.00008874
0.62346939 0.15006200 0.01607876 0.00009020
0.63265306 0.15948018 0.01428613 0.00009174
0.64183673 0.16931318 0.01264101 0.00009336
0.65102041 0.17957179 0.01113587 0.00009506
0.66020408 0.19026686 0.00976332 0.00009687
0.66938776 0.20140936 0.00851608 0.00009878
0.67857143 0.21301033 0.00738702 0.00010080
0.68775510 0.22508090 0.00636915 0.00010296
0.69693878 0.23763231 0.00545564 0.00010526
0.70612245 0.25067586 0.00463978 0.00010773
0.71530612 0.26422295 0.00391503 0.00011037
0.72448980 0.27828508 0.00327499 0.00011322
0.73367347 0.29287382 0.00271342 0.00011631
0.74285714 0.30800082 0.00222424 0.00011966
0.75204082 0.32367783 0.00180156 0.00012332
0.76122449 0.33991668 0.00143961 0.00012733
0.77040816 0.35672927 0.00113285 0.00013177
0.77959184 0.37412761 0.00087588 0.00013670
0.78877551 0.39212376 0.00066352 0.00014223
0.79795918 0.41072989 0.00049075 0.00014849
0.80714286 0.42995824 0.00035278 0.00015566
0.81632653 0.44982112 0.00024502 0.00016398
0.82551020 0.47033095 0.00016311 0.00017380
0.83469388 0.49150019 0.00010292 0.00018562
0.84387755 0.51334141 0.00006055 0.00020023
0.85306122 0.53586725 0.00003240 0.00021894
0.86224490 0.55909043 0.00001512 0.00024412
0.87142857 0.58302374 0.00000570 0.00028062
0.88061224 0.60768004 0.00000147 0.00034066
0.88979592 0.63307230 0.00000016 0.00046957
0.89897959 0.65921354 0.00000000 0.00148492
0.90816327 0.68611685 0.00000000 0.95000000
0.91734694 0.71379542 0.00000000 0.95000000
0.92653061 0.74226250 0.00000000 0.95000000
0.93571429 0.77153140 0.00000000 0.95000000
0.94489796 0.80161555 0.00000000 0.95000000
0.95408163 0.83252840 0.00000000 0.95000000
0.96326531 0.86428350 0.00000000 0.95000000
0.97244898 0.89689449 0.00000000 0.95000000
0.98163265 0.93037504 0.00000000 0.95000000
0.99081633 0.96473893 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00010000
0.10000000 0.00000000 0.66216492 0.00010607
0.10918367 0.00000011 0.63593966 0.00010668
0.11836735 0.00000121 0.61046483 0.00010730
0.12755102 0.00000502 0.58572739 0.00010794
0.13673469 0.00001374 0.56171438 0.00010859
0.14591837 0.00003000 0.53841294 0.00010925
0.15510204 0.00005679 0.51581024 0.00010992
0.16428571 0.00009740 0.49389358 0.00011060
0.17346939 0.00015543 0.47265029 0.00011130
0.18265306 0.00023472 0.45206782 0.00011201
0.19183673 0.00033940 0.43213366 0.00011273
0.20102041 0.00047379 0.41283542 0.00011347
0.21020408 0.00064246 0.39416076 0.00011422
0.21938776 0.00085018 0.37609743 0.00011499
0.22857143 0.00110194 0.35863327 0.00011578
0.23775510 0.00140290 0.34175619 0.00011658
0.24693878 0.00175844 0.32545419 0.00011739
0.25612245 0.00217410 0.30971534 0.00011823
0.26530612 0.00265560 0.29452780 0.00011908
0.27448980 0.00320883 0.27987984 0.00011995
0.28367347 0.00383985 0.26575977 0.00012084
