# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.94736842105e+01, 4.26849078947e+06, 3.13266668333e+00, 9.42792533008e-06, 4.30386667840e+06
 4.94736842105e+01, 4.50000000000e+06, 3.29834866867e+00, 9.43012593207e-06, 4.30506767313e+06
 5.05263157895e+01, 1.01325000000e+05, 7.58562251984e-02, 9.42078777417e-06, 4.29800684323e+06
 5.05263157895e+01, 3.32834210526e+05, 2.48852979321e-01, 9.42176249947e-06, 4.29915003467e+06
 5.05263157895e+01, 5.64343421053e+05, 4.21404338915e-01, 9.42280895172e-06, 4.30029632395e+06
 5.05263157895e+01, 7.95852631579e+05, 5.93511597220e-01, 9.42392656607e-06, 4.30144577316e+06
 5.05263157895e+01, 1.02736184211e+06, 7.65176021944e-01, 9.42511478149e-06, 4.30259844103e+06
 5.05263157895e+01, 1.25887105263e+06, 9.36398857147e-01, 9.42637304068e-06, 4.30375438303e+06
 5.05263157895e+01, 1.49038026316e+06, 1.10718132502e+00, 9.42770079004e-06, 4.30491365146e+06
 5.05263157895e+01, 1.72188947368e+06, 1.27752462759e+00, 9.42909747959e-06, 4.30607629560e+06
 5.05263157895e+01, 1.95339868421e+06, 1.44742994827e+00, 9.43056256295e-06, 4.30724236179e+06
 5.05263157895e+01, 2.18490789474e+06, 1.61689845345e+00, 9.43209549728e-06, 4.30841189354e+06
 5.05263157895e+01, 2.41641710526e+06, 1.78593129387e+00, 9.43369574324e-06, 4.30958493159e+06
 5.05263157895e+01, 2.64792631579e+06, 1.95452960598e+00, 9.43536276493e-06, 4.31076151408e+06
 5.05263157895e+01, 2.87943552632e+06, 2.12269451324e+00, 9.43709602989e-06, 4.31194167656e+06
 5.05263157895e+01, 3.11094473684e+06, 2.29042712731e+00, 9.43889500906e-06, 4.31312545214e+06
 5.05263157895e+01, 3.34245394737e+06, 2.45772854920e+00, 9.44075917671e-06, 4.31431287155e+06
 5.05263157895e+01, 3.57396315789e+06, 2.62459987034e+00, 9.44268801047e-06, 4.31550396320e+06
 5.05263157895e+01, 3.80547236842e+06, 2.79104217359e+00, 9.44468099127e-06, 4.31669875334e+06
 5.05263157895e+01, 4.03698157895e+06, 2.95705653418e+00, 9.44673760331e-06, 4.31789726604e+06
 5.05263157895e+01, 4.26849078947e+06, 3.12264402062e+00, 9.44885733407e-06, 4.31909952333e+06
 5.05263157895e+01, 4.50000000000e+06, 3.28780569555e+00, 9.45103967425e-06, 4.32030554526e+06
 5.15789473684e+01, 1.01325000000e+05, 7.56104238526e-02, 9.44197656336e-06, 4.31314589342e+06
 5.15789473684e+01, 3.32834210526e+05, 2.48047296794e-01, 9.44293870276e-06, 4.31429467244e+06
 5.15789473684e+01, 5.64343421053e+05, 4.20041179066e-01, 9.44397222902e-06, 4.31544652006e+06
 5.15789473684e+01, 7.95852631579e+05, 5.91593360369e-01, 9.44507658135e-06, 4.31660149771e+06
 5.15789473684e+01, 1.02736184211e+06, 7.62705105195e-01, 9.44625120276e-06, 4.31775966349e+06
 5.15789473684e+01, 1.25887105263e+06, 9.33377654669e-01, 9.44749553994e-06, 4.31892107229e+06
 5.15789473684e+01, 1.49038026316e+06, 1.10361222830e+00, 9.44880904329e-06, 4.32008577588e+06
 5.15789473684e+01, 1.72188947368e+06, 1.27341002564e+00, 9.45019116679e-06, 4.32125382305e+06
 5.15789473684e+01, 1.95339868421e+06, 1.44277222785e+00, 9.45164136800e-06, 4.32242525968e+06
 5.15789473684e+01, 2.18490789474e+06, 1.61169999920e+00, 9.45315910798e-06, 4.32360012883e+06
 5.15789473684e+01, 2.41641710526e+06, 1.78019448842e+00, 9.45474385130e-06, 4.32477847089e+06
