# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.21052631579e+01, 3.34245394737e+06, 9.92809645481e+02, 6.28183618822e-04, 1.79268502009e+05
 4.21052631579e+01, 3.57396315789e+06, 9.92910326202e+02, 6.28218189345e-04, 1.79472122741e+05
 4.21052631579e+01, 3.80547236842e+06, 9.93010956402e+02, 6.28252818135e-04, 1.79675719521e+05
 4.21052631579e+01, 4.03698157895e+06, 9.93111536135e+02, 6.28287505233e-04, 1.79879292357e+05
 4.21052631579e+01, 4.26849078947e+06, 9.93212065456e+02, 6.28322250681e-04, 1.80082841254e+05
 4.21052631579e+01, 4.50000000000e+06, 9.93312544420e+02, 6.28357054519e-04, 1.80286366220e+05
 4.31578947368e+01, 1.01325000000e+05, 9.90971901758e+02, 6.15775501974e-04, 1.80815013691e+05
 4.31578947368e+01, 3.32834210526e+05, 9.91073212861e+02, 6.15811376186e-04, 1.81018382270e+05
 4.31578947368e+01, 5.64343421053e+05, 9.91174472529e+02, 6.15847303960e-04, 1.81221727654e+05
 4.31578947368e+01, 7.95852631579e+05, 9.91275680821e+02, 6.15883285342e-04, 1.81425049848e+05
 4.31578947368e+01, 1.02736184211e+06, 9.91376837794e+02, 6.15919320379e-04, 1.81628348857e+05
 4.31578947368e+01, 1.25887105263e+06, 9.91477943505e+02, 6.15955409116e-04, 1.81831624687e+05
 4.31578947368e+01, 1.49038026316e+06, 9.91578998012e+02, 6.15991551598e-04, 1.82034877342e+05
 4.31578947368e+01, 1.72188947368e+06, 9.91680001373e+02, 6.16027747871e-04, 1.82238106828e+05
 4.31578947368e+01, 1.95339868421e+06, 9.91780953644e+02, 6.16063997981e-04, 1.82441313149e+05
 4.31578947368e+01, 2.18490789474e+06, 9.91881854883e+02, 6.16100301971e-04, 1.82644496312e+05
 4.31578947368e+01, 2.41641710526e+06, 9.91982705147e+02, 6.16136659886e-04, 1.82847656320e+05
 4.31578947368e+01, 2.64792631579e+06, 9.92083504491e+02, 6.16173071772e-04, 1.83050793181e+05
 4.31578947368e+01, 2.87943552632e+06, 9.92184252974e+02, 6.16209537671e-04, 1.83253906897e+05
 4.31578947368e+01, 3.11094473684e+06, 9.92284950651e+02, 6.16246057627e-04, 1.83456997476e+05
 4.31578947368e+01, 3.34245394737e+06, 9.92385597578e+02, 6.16282631686e-04, 1.83660064923e+05
 4.31578947368e+01, 3.57396315789e+06, 9.92486193813e+02, 6.16319259889e-04, 1.83863109243e+05
 4.31578947368e+01, 3.80547236842e+06, 9.92586739411e+02, 6.16355942279e-04, 1.84066130441e+05
 4.31578947368e+01, 4.03698157895e+06, 9.92687234428e+02, 6.16392678901e-04, 1.84269128524e+05
 4.31578947368e+01, 4.26849078947e+06, 9.92787678920e+02, 6.16429469796e-04, 1.84472103496e+05
 4.31578947368e+01, 4.50000000000e+06, 9.92888072943e+02, 6.16466315007e-04, 1.84675055363e+05
 4.42105263158e+01, 1.01325000000e+05, 9.90541114241e+02, 6.04211316267e-04, 1.85214910960e+05
 4.42105263158e+01, 3.32834210526e+05, 9.90642352829e+02, 6.04249165687e-04, 1.85417695727e+05
 4.42105263158e+01, 5.64343421053e+05, 9.90743539845e+02, 6.04287064816e-04, 1.85620458134e+05
 4.42105263158e+01, 7.95852631579e+05, 9.90844675350e+02, 6.04325013700e-04, 1.85823198185e+05
 4.42105263158e+01, 1.02736184211e+06, 9.90945759400e+02, 6.04363012387e-04, 1.86025915884e+05
 4.42105263158e+01, 1.25887105263e+06, 9.91046792055e+02, 6.04401060924e-04, 1.86228611235e+05
 4.42105263158e+01, 1.49038026316e+06, 9.91147773372e+02, 6.04439159357e-04, 1.86431284242e+05
 4.42105263158e+01, 1.72188947368e+06, 9.91248703409e+02, 6.04477307733e-04, 1.86633934907e+05
 4.42105263158e+01, 1.95339868421e+06, 9.91349582225e+02, 6.04515506099e-04, 1.86836563237e+05
 4.42105263158e+01, 2.18490789474e+06, 9.91450409877e+02, 6.04553754500e-04, 1.87039169233e+05
 4.42105263158e+01, 2.41641710526e+06, 9.91551186423e+02, 6.04592052981e-04, 1.87241752902e+05
 4.42105263158e+01, 2.64792631579e+06, 9.91651911921e+02, 6.04630401589e-04, 1.87444314246e+05
 4.42105263158e+01, 2.87943552632e+06, 9.91752586427e+02, 6.04668800369e-04, 1.87646853269e+05
 4.42105263158e+01, 3.11094473684e+06, 9.91853210000e+02, 6.04707249366e-04, 1.87849369977e+05
 4.42105263158e+01, 3.34245394737e+06, 9.91953782695e+02, 6.04745748624e-04, 1.88051864372e+05
 4.42105263158e+01, 3.57396315789e+06, 9.92054304571e+02, 6.04784298189e-04, 1.88254336460e+05
 4.42105263158e+01, 3.80547236842e+06, 9.92154775684e+02, 6.04822898104e-04, 1.88456786245e+05
 4.42105263158e+01, 4.03698157895e+06, 9.92255196091e+02, 6.04861548414e-04, 1.88659213731e+05
 4.42105263158e+01, 4.26849078947e+06, 9.92355565849e+02, 6.04900249163e-04, 1.88861618922e+05
 4.42105263158e+01, 4.50000000000e+06, 9.92455885013e+02, 6.04939000394e-04, 1.89064001823e+05
 4.52631578947e+01, 1.01325000000e+05, 9.90102524872e+02, 5.92998117117e-04, 1.89615007884e+05
 4.52631578947e+01, 3.32834210526e+05, 9.90203701018e+02, 5.93037811301e-04, 1.89817212965e+05
 4.52631578947e+01, 5.64343421053e+05, 9.90304825444e+02, 5.93077551567e-04, 1.90019396510e+05
 4.52631578947e+01, 7.95852631579e+05, 9.90405898211e+02, 5.93117337962e-04, 1.90221558521e+05
 4.52631578947e+01, 1.02736184211e+06, 9.90506919377e+02, 5.93157170536e-04, 1.90423699001e+05
 4.52631578947e+01, 1.25887105263e+06, 9.90607889002e+02, 5.93197049334e-04, 1.90625817953e+05
 4.52631578947e+01, 1.49038026316e+06, 9.90708807145e+02, 5.93236974407e-04, 1.90827915378e+05
 4.52631578947e+01, 1.72188947368e+06, 9.90809673864e+02, 5.93276945800e-04, 1.91029991280e+05
 4.52631578947e+01, 1.95339868421e+06, 9.90910489218e+02, 5.93316963562e-04, 1.91232045662e+05
 4.52631578947e+01, 2.18490789474e+06, 9.91011253266e+02, 5.93357027740e-04, 1.91434078527e+05
 4.52631578947e+01, 2.41641710526e+06, 9.91111966066e+02, 5.93397138379e-04, 1.91636089876e+05
 4.52631578947e+01, 2.64792631579e+06, 9.91212627677e+02, 5.93437295528e-04, 1.91838079714e+05
 4.52631578947e+01, 2.87943552632e+06, 9.91313238156e+02, 5.93477499231e-04, 1.92040048043e+05
 4.52631578947e+01, 3.11094473684e+06, 9.91413797562e+02, 5.93517749536e-04, 1.92241994866e+05
 4.52631578947e+01, 3.34245394737e+06, 9.91514305953e+02, 5.93558046488e-04, 1.92443920186e+05
 4.52631578947e+01, 3.57396315789e+06, 9.91614763386e+02, 5.93598390133e-04, 1.92645824007e+05
 4.52631578947e+01, 3.80547236842e+06, 9.91715169919e+02, 5.93638780516e-04, 1.92847706331e+05
 4.52631578947e+01, 4.03698157895e+06, 9.91815525609e+02, 5.93679217683e-04, 1.93049567161e+05
 4.52631578947e+01, 4.26849078947e+06, 9.91915830514e+02, 5.93719701679e-04, 1.93251406502e+05
 4.52631578947e+01, 4.50000000000e+06, 9.92016084692e+02, 5.93760232547e-04, 1.93453224355e+05
 4.63157894737e+01, 1.01325000000e+05, 9.89656238136e+02, 5.82121635401e-04, 1.94015326592e+05
 4.63157894737e+01, 3.32834210526e+05, 9.89757361705e+02, 5.82163052499e-04, 1.94216955896e+05
 4.63157894737e+01, 5.64343421053e+05, 9.89858433397e+02, 5.82204512263e-04, 1.94418564477e+05
 4.63157894737e+01, 7.95852631579e+05, 9.89959453270e+02, 5.82246014742e-04, 1.94620152335e+05
 4.63157894737e+01, 1.02736184211e+06, 9.90060421386e+02, 5.82287559984e-04, 1.94821719471e+05
 4.63157894737e+01, 1.25887105263e+06, 9.90161337803e+02, 5.82329148039e-04, 1.95023265888e+05
 4.63157894737e+01, 1.49038026316e+06, 9.90262202583e+02, 5.82370778956e-04, 1.95224791587e+05
 4.63157894737e+01, 1.72188947368e+06, 9.90363015783e+02, 5.82412452782e-04, 1.95426296568e+05
 4.63157894737e+01, 1.95339868421e+06, 9.90463777465e+02, 5.82454169567e-04, 1.95627780835e+05
 4.63157894737e+01, 2.18490789474e+06, 9.90564487687e+02, 5.82495929357e-04, 1.95829244388e+05
 4.63157894737e+01, 2.41641710526e+06, 9.90665146509e+02, 5.82537732202e-04, 1.96030687229e+05
 4.63157894737e+01, 2.64792631579e+06, 9.90765753989e+02, 5.82579578149e-04, 1.96232109360e+05
 4.63157894737e+01, 2.87943552632e+06, 9.90866310187e+02, 5.82621467244e-04, 1.96433510783e+05
 4.63157894737e+01, 3.11094473684e+06, 9.90966815161e+02, 5.82663399535e-04, 1.96634891499e+05
 4.63157894737e+01, 3.34245394737e+06, 9.91067268970e+02, 5.82705375069e-04, 1.96836251510e+05
 4.63157894737e+01, 3.57396315789e+06, 9.91167671672e+02, 5.82747393893e-04, 1.97037590819e+05
 4.63157894737e+01, 3.80547236842e+06, 9.91268023327e+02, 5.82789456052e-04, 1.97238909428e+05
 4.63157894737e+01, 4.03698157895e+06, 9.91368323992e+02, 5.82831561594e-04, 1.97440207337e+05
 4.63157894737e+01, 4.26849078947e+06, 9.91468573725e+02, 5.82873710563e-04, 1.97641484550e+05
 4.63157894737e+01, 4.50000000000e+06, 9.91568772584e+02, 5.82915903007e-04, 1.97842741069e+05
 4.73684210526e+01, 1.01325000000e+05, 9.89202355032e+02, 5.71568335110e-04, 1.98415888490e+05
 4.73684210526e+01, 3.32834210526e+05, 9.89303435696e+02, 5.71611361245e-04, 1.98616945718e+05
 4.73684210526e+01, 5.64343421053e+05, 9.89404464311e+02, 5.71654426826e-04, 1.98817983023e+05
 4.73684210526e+01, 7.95852631579e+05, 9.89505440939e+02, 5.71697531904e-04, 1.99019000406e+05
