HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.258811547	0	0.98705			
0.339967595	5.69E-05	0.94557			
0.372506102	2.84E-04	0.89525			
0.46354164	0.00499	0.8343			
0.520476329	0.00859	0.74264			
0.558427279	0.01778	0.63813			
0.617090478	0.02775	0.50964			
0.657437354	0.03957	0.40658			
0.691728049	0.05913	0.31567			
0.734544375	0.07981	0.21536			
0.784488606	0.12138	0.16622			
0.813752306	0.20781	0.14312			
0.839389966	0.26757	0.11439			
0.860831272	0.34016	0.08442			
0.909141396	0.43102	0.05459			
0.940130914	0.53738	0.03018			
0.967605424	0.69178	0.01996			
1	0.95424	0			
