HEADER					
'SW'		'KRW'			'KRO'
UNITS   	            				
'none'		'none'      	'none'		
0.258811547	0	0.887270521			
0.339967595	4.75E-05	0.885829525			
0.372506102	4.87E-05	0.883821781			
0.46354164	0.00105792	0.850959338			
0.520476329	0.005178619	0.703735567			
0.558427279	0.009063562	0.556527367			
0.617090478	0.022972645	0.401891012			
0.657437354	0.024317527	0.345042621			
0.691728049	0.036670906	0.269603625			
0.734544375	0.063860945	0.162641616			
0.784488606	0.077369282	0.131640885			
0.813752306	0.163041708	0.131574499			
0.839389966	0.207440207	0.088834619			
0.860831272	0.265090219	0.07050968			
0.909141396	0.377295991	0.031739632			
0.940130914	0.455024613	0.019746495			
0.967605424	0.517668019	0.012592293			
1	0.949093282	0			
