HEADER
'SW'	'PCOW'
UNITS
'none'	'pa'
1	1.15E+03
0.981615797	1.32E+03
0.977070057	1.50E+03
0.967055668	1.72E+03
0.961258263	1.97E+03
0.958203803	2.25E+03
0.946374423	2.58E+03
0.936248807	2.95E+03
0.905535814	3.37E+03
0.872623659	3.86E+03
0.701417687	4.41E+03
0.669277926	5.05E+03
0.358574977	5.77E+03
0.268375205	6.60E+03
0.194451641	7.55E+03
0.146303254	8.64E+03
0.07645184	9.88E+03
0.053707249	1.13E+04
0.031123104	1.29E+04
0.031123104	1.48E+04
0.011882729	1.69E+04
0.011882729	1.94E+04
0	2.21E+04
