HEADER		
'time'		'total volume'
UNITS		
'hour'		'cm^3'
0	0.010953554	
5.008333333	0.481132443	
10.32166667	0.610880585	
14.36861111	0.722353447	
19.68277778	0.802762871	
25.09444444	0.812852174	
30.25	0.936544029	
32.83388889	0.901423376	
35.41805556	0.997966852	
38.12305556	0.90081844	
40.70611111	0.928746019	
43.28972222	0.98484859	
45.89138889	1.030239676	
48.47666667	1.021829131	
49.87055556	1.059777851	
52.57694444	1.010040917	
55.16166667	1.114841901	
57.74444444	1.069488383	
60.34666667	1.034012439	
62.93027778	1.095616959	
65.61972222	1.063634494	
68.22111111	1.067800581	
70.80555556	1.111574988	
73.39055556	1.045370292	
75.99166667	1.12676737	
78.68166667	1.093794649	
81.26444444	1.123104875	
83.86527778	1.155833974	
86.45	1.153947236	
89.03388889	1.136449153	
91.74	1.132409534	
94.32444444	1.162012772	
96.90944444	1.187137674	
99.51	1.164852024	
102.0952778	1.153359592	
104.7847222	1.159085519	
107.3855556	1.145530659	
109.9702778	1.16296477	
112.5547222	1.162568692	
115.1577778	1.196599935	
117.8494444	1.209968137	
120.4347222	1.163577763	
123.0369444	1.196748248	
125.6219444	1.201006114	
128.2072222	1.196427049	
130.915	1.223828974	
133.5002778	1.226342628	
136.0869444	1.251068564	
138.6880556	1.212120207	
141.2736111	1.262742231	
143.9652778	1.241220956	
146.5675	1.266479752	
149.1544444	1.27451376	
151.7405556	1.241996005	
154.3433333	1.258037704	
157.0341667	1.275900668	
159.6211111	1.271049377	
162.2236111	1.233199678	
164.8091667	1.273402802	
167.3958333	1.296411273	
170.1036111	1.300380798	
172.69	1.292659488	
175.2761111	1.251858353	
177.8786111	1.266393	
180.4636111	1.253085522	
183.155	1.289709696	
185.7577778	1.312610398	
188.3430556	1.294511772	
190.9288889	1.337014571	
196.4658333	1.283898905	
199.0652778	1.283741231	
201.6483333	1.297270358	
204.2322222	1.31307525	
206.8327778	1.334883955	
209.5213889	1.301867641	
212.1052778	1.3465491	
219.1352778	1.356038841	
223.7627778	1.324527874	
228.2638889	1.26824807	
232.7777778	1.312724204	
237.3986111	1.434386157	
239.9822222	1.416522988	
241.8588889	1.457141526	
244.4586111	1.440043073	
246.3333333	1.416741362	
248.9158333	1.429274353	
250.9094444	1.442213458	
253.4936111	1.487486718	
255.3680556	1.43495022	
257.9686111	1.451728445	
259.845	1.503110162	
262.4269444	1.412756307	
264.4194444	1.443434801	
267.0016667	1.481208323	
268.8772222	1.511364529	
271.4772222	1.485466698	
273.3541667	1.477497414	
275.9375	1.490902064	
277.9308333	1.458418336	
280.5147222	1.477061227	
282.3913889	1.476161799	
284.9908333	1.447638982	
286.8655556	1.453545676	
289.4491667	1.48960782	
291.4422222	1.48815655	
294.0269444	1.559430437	
295.9030556	1.525307704	
298.5033333	1.557354282	
300.3788889	1.52999779	
302.9622222	1.568210409	
304.955	1.471915669	
307.5383333	1.510607852	
309.4136111	1.571052251	
312.0133333	1.549544368	
313.8888889	1.550287355	
316.4727778	1.558688466	
318.4658333	1.606620831	
321.0477778	1.589900358	
322.9230556	1.626929571	
325.5222222	1.591654825	
327.3986111	1.572579322	
329.9805556	1.560854257	
331.9747222	1.515125941	
334.5583333	1.554524677	
336.4327778	1.565310056	
339.0338889	2.294993527	
340.9105556	2.311193711	
343.495	2.337798462	
345.49	2.282931703	
348.0755556	2.309637282	
349.9525	2.315621882	
352.5552778	2.307894808	
354.4316667	2.316694796	
357.0177778	2.307606818	
359.6705556	2.331784984	
361.7402778	2.633084369	
364.3266667	3.303690171	
366.2216667	3.336613355	
368.81	3.342010133	
370.7044444	3.350882111	
373.3086111	3.329947026	
375.3819444	3.34059727	
377.9694444	3.332002627	
379.8663889	3.395487454	
383.1094444	3.373859985	
384.9905556	3.380383535	
387.7891667	3.368485294	
389.67	3.407993459	
392.2580556	3.411438014	
394.1544444	3.434291784	
396.7433333	3.408230416	
398.6241667	3.42685588	
401.4227778	3.414078613	
403.3038889	3.414286238	
405.8922222	3.428252765	
407.7908333	3.402565722	
409.7330556	4.182320796	
411.675	5.052302223	
412.9011111	5.045451631	
414.9894444	5.058378134	
416.9316667	5.024763619	
418.8111111	5.071515268	
420.0369444	5.087459688	
421.9952778	5.06368775	
423.8761111	5.066369007	
425.1019444	5.130033279	
427.2369444	5.106389449	
429.1333333	5.118756647	
431.0761111	5.120010547	
433.6652778	5.15705536	
435.6233333	5.069828469	
438.2180556	5.144628824	
440.37	5.105043114	
442.9827778	5.12679217	
444.9377778	5.118329522	
447.545	5.134810986	
449.5161111	5.091231869	
452.1161111	5.15209111	
454.2666667	5.153691861	
456.8836111	5.104776588	
458.8422222	5.17095699	
461.4391667	5.163992169	
463.4113889	5.143929174	
466.0111111	5.138510772	
468.1511111	5.163657412	
470.7680556	5.16308953	
472.7191667	5.174705549	
475.3263889	5.166856461	
477.2991667	5.191263219	
479.9038889	5.15967806	
482.06	5.213170701	
484.6775	5.159580448	
486.6347222	5.242600506	
489.2427778	5.207584581	
491.2166667	5.164326923	
493.8233333	5.179127142	
495.9652778	5.143000327	
498.5772222	5.148946734	
502.4941667	5.177903847	
505.0988889	5.167446881	
507.6877778	5.180501195	
510.47	5.147197346	
513.0738889	5.203355063	
515.6616667	5.18349591	
518.2494444	5.26562708	
520.8538889	5.223942176	
523.6344444	5.204912163	
526.2216667	5.234293167	
528.825	5.222048142	
531.4155556	5.221565557	
534.0066667	5.26398908	
536.8091667	5.186546066	
539.4011111	5.202413686	
541.9933333	5.273943375	
544.6011111	5.216218935	
547.1919444	5.221538165	
549.9780556	5.215924837	
552.5883333	5.24079017	
555.1811111	5.275402379	
557.7727778	5.213587297	
560.3813889	5.199564454	
563.1669444	5.24115176	
565.7591667	5.254006915	
568.3675	5.25722881	
570.96	5.229995164	
573.5530556	5.269167701	
576.3558333	5.240695947	
578.3008333	5.294487573	
580.2422222	5.228827966	
582.8505556	5.235608425	
585.4430556	5.282366825	
588.0358333	5.204186813	
590.8380556	5.307221212	
593.4311111	5.219900241	
596.0227778	5.254743575	
598.6311111	5.250102025	
601.225	5.240909358	
604.0113889	5.251190596	
606.6211111	5.277107576	
609.2136111	5.305211502	
611.8047222	5.357469045	
614.4125	5.235379687	
617.1969444	5.284765317	
619.7888889	5.283103041	
622.3977778	5.267787382	
624.99	5.273270593	
627.5825	5.257442951	
630.3838889	5.281216213	
632.9747222	5.288089694	
635.5672222	5.283332351	
638.1752778	5.286242489	
640.7658333	5.306513521	
643.5502778	5.304688754	
646.1580556	5.291096878	
648.7497222	5.226090697	
651.3402778	5.321131623	
653.9494444	5.303200901	
656.735	5.295760127	
659.3255556	5.271315768	
661.9333333	5.269702916	
664.5236111	5.291068721	
667.115	5.275499751	
669.9169444	5.326184184	
671.9236111	5.302115945	
674.5166667	5.303401161	
677.1272222	5.288320589	
679.7205556	5.293764406	
682.5072222	5.319951408	
685.1147222	5.288011655	
687.7080556	5.298456347	
