HEADER	
'time'	'pressure drop'
UNITS	
'min'	'bar'
146.5	0.025076
146.75	0.025076
147	0.025109
147.25	0.022987
147.5	0.021885
147.75	0.020962
148	0.020897
148.25	0.020897
148.5	0.020208
148.75	0.020897
149	0.021626
149.25	0.018247
149.5	0.023795
149.75	0.02472
150	0.025076
150.25	0.025076
150.5	0.024606
150.75	0.046626
151	0.048038
151.25	0.048689
151.5	0.047274
151.75	0.049475
152	0.049456
152.25	0.051527
152.5	0.053635
152.75	0.053635
153	0.049456
153.25	0.048759
153.5	0.051167
153.75	0.055064
154	0.055725
154.25	0.056101
154.5	0.055837
154.75	0.051546
155	0.053654
155.25	0.05502
155.5	0.056422
155.75	0.055575
156	0.055184
156.25	0.051546
156.5	0.051472
156.75	0.053151
157	0.055464
157.25	0.055407
157.5	0.056408
157.75	0.05668
158	0.050871
158.25	0.051559
158.5	0.050846
158.75	0.05218
159	0.053635
159.25	0.053899
159.5	0.05154
159.75	0.051464
160	0.052844
160.25	0.053869
160.5	0.055126
160.75	0.055042
161	0.055412
161.25	0.051513
161.5	0.052849
161.75	0.053635
162	0.054476
162.25	0.053635
162.5	0.051546
162.75	0.05305
163	0.052229
163.25	0.053635
163.5	0.055725
163.75	0.055725
164	0.055725
164.25	0.055725
164.5	0.053635
164.75	0.053635
165	0.055094
165.25	0.055725
165.5	0.055725
165.75	0.055725
166	0.053635
166.25	0.052784
166.5	0.054022
166.75	0.055028
167	0.055314
167.25	0.054993
167.5	0.055725
167.75	0.051546
168	0.051543
168.25	0.054261
168.5	0.054375
168.75	0.053635
169	0.053118
169.25	0.051807
169.5	0.051448
169.75	0.050819
170	0.04947
170.25	0.051657
170.5	0.052939
170.75	0.051924
171	0.051676
171.25	0.05224
171.5	0.052242
171.75	0.052027
172	0.052944
172.25	0.053635
172.5	0.050776
172.75	0.050153
173	0.050767
173.25	0.050849
173.5	0.049004
173.75	0.049516
174	0.04954
174.25	0.050248
174.5	0.053088
174.75	0.054318
175	0.054375
175.25	0.05511
175.5	0.052963
175.75	0.051546
176	0.052166
176.25	0.053635
176.5	0.053635
176.75	0.051894
177	0.052346
177.25	0.051554
177.5	0.051546
177.75	0.053635
178	0.053314
178.25	0.052242
178.5	0.051546
178.75	0.051546
179	0.05148
179.25	0.050604
179.5	0.051546
179.75	0.052939
180	0.053635
180.25	0.054898
180.5	0.053581
192.5	0.053581
216.5	0.052875071
240.5	0.052169143
276.5	0.051463214
324.5	0.050757286
360.5	0.050051357
384.5	0.049345429
420.5	0.0486395
468.5	0.047933571
516.5	0.047227643
540.5	0.046521714
564.5	0.045815786
600.5	0.045109857
636.5	0.044403929
648.5	0.043698
657.6333333	0.043698
657.75	0.043698
657.8833333	0.047402
658.1333333	0.050272
658.3833333	0.051546
658.6333333	0.052354
658.8833333	0.051165
659.1333333	0.046814
659.3833333	0.049372
659.6333333	0.054305
659.8833333	0.055671
660.1333333	0.055725
660.3833333	0.055725
660.6333333	0.053456
660.8833333	0.052242
661.1333333	0.053635
661.3833333	0.055075
661.6333333	0.055725
661.8833333	0.057162
662.1333333	0.05428
662.3833333	0.0512
662.6333333	0.052242
662.8833333	0.053635
663.1333333	0.054833
663.3833333	0.055581
663.6333333	0.05609
663.8833333	0.05631
664.1333333	0.05471
664.3833333	0.057118
664.6333333	0.058522
664.8833333	0.058511
665.1333333	0.056389
665.3833333	0.053238
665.6333333	0.050863
665.8833333	0.054332
666.1333333	0.055801
666.3833333	0.055785
666.6333333	0.056422
666.8833333	0.058511
667.1333333	0.053782
667.3833333	0.050153
667.6333333	0.054161
667.8833333	0.053581
668.1333333	0.053635
668.3833333	0.053752
668.6333333	0.051546
668.8833333	0.048759
669.1333333	0.051791
669.3833333	0.051567
669.6333333	0.052272
669.8833333	0.052669
670.1333333	0.052939
670.3833333	0.048909
670.6333333	0.048759
670.8833333	0.051698
671.1333333	0.052231
671.3833333	0.051546
671.6333333	0.052702
671.8833333	0.053532
672.1333333	0.046343
672.3833333	0.053935
672.6333333	0.057118
672.8833333	0.057815
673.1333333	0.057107
673.3833333	0.059118
673.6333333	0.053872
673.8833333	0.052384
674.1333333	0.058394
674.3833333	0.056555
674.6333333	0.057107
674.8833333	0.057037
675.1333333	0.051546
675.3833333	0.051499
675.6333333	0.055725
675.8833333	0.056332
676.1333333	0.058441
676.3833333	0.059904
676.6333333	0.059262
676.8833333	0.054332
677.1333333	0.052242
677.3833333	0.053178
677.6333333	0.053801
677.8833333	0.05634
678.1333333	0.057695
678.3833333	0.052242
678.6333333	0.048759
678.8833333	0.051157
679.1333333	0.052691
679.3833333	0.055257
679.6333333	0.055725
679.8833333	0.055861
680.1333333	0.051592
680.3833333	0.048229
680.6333333	0.051546
680.8833333	0.052893
681.1333333	0.055001
681.3833333	0.05628
681.6333333	0.056433
681.8833333	0.048759
682.1333333	0.050778
682.3833333	0.052841
682.6333333	0.055725
682.8833333	0.057118
683.1333333	0.058511
683.3833333	0.053635
683.6333333	0.050958
683.8833333	0.053078
684.1333333	0.054256
684.3833333	0.053635
684.6333333	0.055725
684.8833333	0.054275
685.1333333	0.048749
685.3833333	0.052234
685.6333333	0.054332
685.8833333	0.055725
686.1333333	0.055725
686.3833333	0.056468
686.6333333	0.048768
686.8833333	0.049524
687.1333333	0.053415
687.3833333	0.055028
689.3833333	0.053635
691.3833333	0.050955
693.3833333	0.041494
695.3833333	0.041739
697.3833333	0.05339
699.3833333	0.08143
701.3833333	0.106316
703.3833333	0.155687
705.3833333	0.217388
707.3833333	0.261908
709.3833333	0.303089
711.3833333	0.329831
713.3833333	0.329553
715.3833333	0.346733
717.3833333	0.353008
719.3833333	0.362093
721.3833333	0.366702
723.3833333	0.380057
725.3833333	0.381962
727.3833333	0.393177
729.3833333	0.386198
731.3833333	0.373546
733.3833333	0.384587
735.3833333	0.384606
737.3833333	0.395868
739.3833333	0.389379
741.3833333	0.394195
743.3833333	0.403253
745.3833333	0.408094
747.3833333	0.41227
749.3833333	0.410972
751.3833333	0.411204
753.3833333	0.422623
755.3833333	0.421209
757.3833333	0.4268
759.3833333	0.438887
761.3833333	0.443278
763.3833333	0.443254
765.3833333	0.446396
767.3833333	0.443773
769.3833333	0.440563
771.3833333	0.43527
773.3833333	0.442293
775.3833333	0.438081
777.3833333	0.429722
779.3833333	0.41993
781.3833333	0.423682
783.3833333	0.422139
785.3833333	0.421769
787.3833333	0.422814
789.3833333	0.415318
791.3833333	0.414115
793.3833333	0.417995
795.3833333	0.419881
797.3833333	0.422106
799.3833333	0.420245
801.3833333	0.422659
803.3833333	0.420395
805.3833333	0.426993
807.3833333	0.412687
809.3833333	0.421189
811.3833333	0.43046
813.3833333	0.433134
815.3833333	0.433826
817.3833333	0.424207
819.3833333	0.428852
821.3833333	0.42948
823.3833333	0.434008
825.3833333	0.430892
827.3833333	0.424599
829.3833333	0.43031
831.3833333	0.433589
833.3833333	0.433113
835.3833333	0.430819
837.3833333	0.43031
839.3833333	0.429067
841.3833333	0.430337
843.3833333	0.433687
845.3833333	0.417783
847.3833333	0.42301
849.3833333	0.428555
851.3833333	0.427785
853.3833333	0.429143
855.3833333	0.426947
857.3833333	0.43579
859.3833333	0.43105
861.3833333	0.425652
863.3833333	0.420577
865.3833333	0.420273
867.3833333	0.431189
869.3833333	0.437477
871.3833333	0.434517
873.3833333	0.420477
875.3833333	0.437951
877.3833333	0.419154
879.3833333	0.42381
881.3833333	0.431774
883.3833333	0.424525
885.3833333	0.430109
887.3833333	0.42664
889.3833333	0.428778
891.3833333	0.428928
893.3833333	0.425078
895.3833333	0.42501
897.3833333	0.429113
899.3833333	0.425121
901.3833333	0.432843
903.3833333	0.42902
905.3833333	0.430365
907.3833333	0.432789
909.3833333	0.424253
911.3833333	0.434944
913.3833333	0.434038
915.3833333	0.424207
917.3833333	0.423355
919.3833333	0.42511
921.3833333	0.422487
923.3833333	0.426131
925.3833333	0.424101
927.3833333	0.426531
929.3833333	0.426765
931.3833333	0.420757
933.3833333	0.427265
935.3833333	0.42237
937.3833333	0.42351
939.3833333	0.441221
941.3833333	0.433632
943.3833333	0.425524
945.3833333	0.417543
947.3833333	0.433798
949.3833333	0.440008
951.3833333	0.430204
953.3833333	0.427083
955.3833333	0.426844
957.3833333	0.426767
959.3833333	0.432103
961.3833333	0.428272
963.3833333	0.431045
965.3833333	0.428933
967.3833333	0.434239
969.3833333	0.433619
971.3833333	0.429083
973.3833333	0.431864
975.3833333	0.427992
977.3833333	0.43293
979.3833333	0.42683
981.3833333	0.429478
983.3833333	0.429347
985.3833333	0.429263
987.3833333	0.442184
989.3833333	0.432073
991.3833333	0.426531
993.3833333	0.431178
995.3833333	0.428629
997.3833333	0.435137
999.3833333	0.433959
1001.383333	0.440228
1003.383333	0.434653
1005.383333	0.439099
1007.383333	0.424653
1009.383333	0.430122
1011.383333	0.432566
1013.383333	0.433344
1015.383333	0.435738
1017.383333	0.426348
1019.383333	0.434775
1021.383333	0.436634
1023.383333	0.440835
1025.383333	0.4388
1027.383333	0.434288
1029.383333	0.431992
1031.383333	0.433581
1033.383333	0.430022
1035.383333	0.438824
1037.383333	0.426977
1039.383333	0.435643
1041.383333	0.437259
1043.383333	0.438835
1045.383333	0.43253
1047.383333	0.434016
1049.383333	0.435817
1051.383333	0.436481
1053.383333	0.443025
1055.383333	0.426425
1057.383333	0.431758
1059.383333	0.438821
1061.383333	0.434019
1063.383333	0.438889
1065.9	0.436579
1067.9	0.436187
1069.9	0.442318
1071.9	0.42978
1073.9	0.432955
1075.9	0.432049
1077.9	0.428895
1079.9	0.440906
1081.9	0.431295
1083.9	0.431959
1085.9	0.437246
1087.9	0.434484
1089.9	0.426786
1091.9	0.432016
1093.9	0.43003
1095.9	0.432424
1097.9	0.439137
1099.9	0.418169
1101.9	0.43
1103.9	0.429883
1105.9	0.426019
1107.9	0.433779
1109.9	0.42498
1111.9	0.433741
1113.9	0.434843
1115.9	0.43631
1117.9	0.437863
1119.9	0.431409
1121.9	0.431423
1123.9	0.43536
1125.9	0.434737
1127.9	0.437151
1129.9	0.430781
1131.9	0.431453
1133.9	0.434383
1135.9	0.435689
1137.9	0.429083
1139.9	0.433643
1141.9	0.436993
1143.9	0.437951
1145.9	0.440261
1147.9	0.43062
1149.9	0.431935
1151.9	0.435499
1153.9	0.431475
1155.9	0.440914
1157.9	0.428512
1159.9	0.429701
1161.9	0.42554
1163.9	0.428585
1165.9	0.436653
1167.9	0.426661
1169.9	0.42923
1171.9	0.433959
1173.9	0.433622
1175.9	0.435241
1177.9	0.431981
1179.9	0.434982
1181.9	0.438829
1183.9	0.438623
1185.9	0.420368
1187.9	0.427029
1189.9	0.429118
1191.9	0.432484
1193.9	0.435673
1195.9	0.427127
1197.9	0.434193
1199.9	0.433589
1201.9	0.439741
1203.9	0.43684
1205.9	0.428754
1207.9	0.431869
1209.9	0.433978
1211.9	0.439689
1213.9	0.425921
1215.9	0.42951
1217.9	0.431847
1219.9	0.431524
1221.9	0.436745
1223.9	0.429083
1225.9	0.43643
1227.9	0.436394
1229.9	0.435602
1231.9	0.439047
1233.9	0.431306
1235.9	0.431858
