Timestep(day)
1.00E-06
2.50E-06
7.50E-06
2.25E-05
6.75E-05
1.49E-04
2.92E-04
5.67E-04
1.10E-03
2.13E-03
4.00E-03
9.34E-03
2.24E-02
3.16E-02
4.83E-02
7.99E-02
1.43E-01
2.70E-01
3.87E-01
4.54E-01
9.64E-01
1.67E+00
3.25E+00
2.66E+00
5.12E+00
4.88E+00
1.10E+01
1.00E+01
1.00E+01
9.00E+00
1.06E+01
3.42E+00
1.70E+01
1.40E+01
1.60E+01
2.64E+01
4.55E+00
3.00E+01
3.10E+01
3.10E+01
3.00E+01
3.10E+01
3.00E+01
3.10E+01
6.61E+01
1.65E+02
1.34E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
3.65E+02
3.65E+02
3.66E+02
3.65E+02
