2/3,-1/6,-1/3,-1/6,-1/12*6^(1/2),1/12*6^(1/2),-1/12*6^(1/2),1/12*6^(1/2),0
-1/6,2/3,-1/6,-1/3,1/12*6^(1/2),-1/12*6^(1/2),-1/12*6^(1/2),1/12*6^(1/2),0
-1/3,-1/6,2/3,-1/6,1/12*6^(1/2),-1/12*6^(1/2),1/12*6^(1/2),-1/12*6^(1/2),0
-1/6,-1/3,-1/6,2/3,-1/12*6^(1/2),1/12*6^(1/2),1/12*6^(1/2),-1/12*6^(1/2),0
-1/12*6^(1/2),1/12*6^(1/2),1/12*6^(1/2),-1/12*6^(1/2),13/15,2/15,0,0,-1/6*6^(1/2)
1/12*6^(1/2),-1/12*6^(1/2),-1/12*6^(1/2),1/12*6^(1/2),2/15,13/15,0,0,-1/6*6^(1/2)
-1/12*6^(1/2),-1/12*6^(1/2),1/12*6^(1/2),1/12*6^(1/2),0,0,13/15,2/15,-1/6*6^(1/2)
1/12*6^(1/2),1/12*6^(1/2),-1/12*6^(1/2),-1/12*6^(1/2),0,0,2/15,13/15,-1/6*6^(1/2)
0,0,0,0,-1/6*6^(1/2),-1/6*6^(1/2),-1/6*6^(1/2),-1/6*6^(1/2),4/5
