# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min phase pressure = 6000000.0, max phase pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 2.90000000000e+01,   1.30000000000e+07, 3.94311203162e-04, 1.75240542447e-03
 2.90000000000e+01,   1.40000000000e+07, 3.72635666297e-04, 1.87997468141e-03
 2.90000000000e+01,   1.50000000000e+07, 3.53833344604e-04, 2.00659636995e-03
 2.90000000000e+01,   1.60000000000e+07, 3.37363911711e-04, 2.13228717915e-03
 2.90000000000e+01,   1.70000000000e+07, 3.22814214634e-04, 2.25706361301e-03
 2.90000000000e+01,   1.80000000000e+07, 3.09862949433e-04, 2.38094201414e-03
 2.90000000000e+01,   1.90000000000e+07, 2.98256491432e-04, 2.50393858045e-03
 2.90000000000e+01,   2.00000000000e+07, 2.87791975964e-04, 2.62606937677e-03
 3.60000000000e+01,   6.00000000000e+06, 1.08048361299e-03, 8.07626164078e-04
 3.60000000000e+01,   7.00000000000e+06, 9.44031208984e-04, 9.38618008231e-04
 3.60000000000e+01,   8.00000000000e+06, 8.41668611957e-04, 1.06859545888e-03
 3.60000000000e+01,   9.00000000000e+06, 7.62028725453e-04, 1.19757682156e-03
 3.60000000000e+01,   1.00000000000e+07, 6.98291289614e-04, 1.32557970728e-03
 3.60000000000e+01,   1.10000000000e+07, 6.46116155290e-04, 1.45262116831e-03
 3.60000000000e+01,   1.20000000000e+07, 6.02609918260e-04, 1.57871780687e-03
 3.60000000000e+01,   1.30000000000e+07, 5.65769489212e-04, 1.70388586154e-03
 3.60000000000e+01,   1.40000000000e+07, 5.34164131907e-04, 1.82814127520e-03
 3.60000000000e+01,   1.50000000000e+07, 5.06744684591e-04, 1.95149974788e-03
 3.60000000000e+01,   1.60000000000e+07, 4.82724322192e-04, 2.07397677733e-03
 3.60000000000e+01,   1.70000000000e+07, 4.61501401482e-04, 2.19558768966e-03
 3.60000000000e+01,   1.80000000000e+07, 4.42608023745e-04, 2.31634766206e-03
 3.60000000000e+01,   1.90000000000e+07, 4.25674840198e-04, 2.43627173915e-03
 3.60000000000e+01,   2.00000000000e+07, 4.10406415294e-04, 2.55537484444e-03
 4.30000000000e+01,   6.00000000000e+06, 1.53196609917e-03, 7.91300593680e-04
 4.30000000000e+01,   7.00000000000e+06, 1.33709737899e-03, 9.19802587164e-04
 4.30000000000e+01,   8.00000000000e+06, 1.19089882120e-03, 1.04733754149e-03
 4.30000000000e+01,   9.00000000000e+06, 1.07714244343e-03, 1.17392260887e-03
 4.30000000000e+01,   1.00000000000e+07, 9.86091449357e-04, 1.29957430056e-03
 4.30000000000e+01,   1.10000000000e+07, 9.11549712074e-04, 1.42430860965e-03
 4.30000000000e+01,   1.20000000000e+07, 8.49386512276e-04, 1.54814110995e-03
 4.30000000000e+01,   1.30000000000e+07, 7.96742163679e-04, 1.67108703506e-03
 4.30000000000e+01,   1.40000000000e+07, 7.51574082432e-04, 1.79316134111e-03
 4.30000000000e+01,   1.50000000000e+07, 7.12384426926e-04, 1.91437875586e-03
 4.30000000000e+01,   1.60000000000e+07, 6.78049871213e-04, 2.03475381686e-03
 4.30000000000e+01,   1.70000000000e+07, 6.47711457176e-04, 2.15430090059e-03
 4.30000000000e+01,   1.80000000000e+07, 6.20701161729e-04, 2.27303424423e-03
 4.30000000000e+01,   1.90000000000e+07, 5.96491652510e-04, 2.39096796180e-03
 4.30000000000e+01,   2.00000000000e+07, 5.74661116249e-04, 2.50811605567e-03
 5.00000000000e+01,   6.00000000000e+06, 2.13268526515e-03, 7.81556407848e-04
 5.00000000000e+01,   7.00000000000e+06, 1.85959765283e-03, 9.08645041715e-04
 5.00000000000e+01,   8.00000000000e+06, 1.65470090752e-03, 1.03480365924e-03
 5.00000000000e+01,   9.00000000000e+06, 1.49525934345e-03, 1.16004848407e-03
