# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 2.20000000000e+01, 1.50000000000e+07, 1.12839942518e+01, 9.06682516792e-06, 3.96119162694e+06
 2.20000000000e+01, 1.60000000000e+07, 1.19664273355e+01, 9.09053328280e-06, 3.96674218226e+06
 2.20000000000e+01, 1.70000000000e+07, 1.26407107136e+01, 9.11506811624e-06, 3.97237141255e+06
 2.20000000000e+01, 1.80000000000e+07, 1.33069570140e+01, 9.14039543814e-06, 3.97807698788e+06
 2.20000000000e+01, 1.90000000000e+07, 1.39652802417e+01, 9.16648225752e-06, 3.98385656456e+06
 2.20000000000e+01, 2.00000000000e+07, 1.46157954560e+01, 9.19329679551e-06, 3.98970780395e+06
 2.90000000000e+01, 6.00000000000e+06, 4.65008137785e+00, 9.03799148687e-06, 4.01632850512e+06
 2.90000000000e+01, 7.00000000000e+06, 5.39384778218e+00, 9.05177519831e-06, 4.02124406719e+06
 2.90000000000e+01, 8.00000000000e+06, 6.12891842279e+00, 9.06671679315e-06, 4.02624716086e+06
 2.90000000000e+01, 9.00000000000e+06, 6.85538169049e+00, 9.08277258655e-06, 4.03133745648e+06
 2.90000000000e+01, 1.00000000000e+07, 7.57332807949e+00, 9.09990015607e-06, 4.03651418876e+06
 2.90000000000e+01, 1.10000000000e+07, 8.28285045377e+00, 9.11805833981e-06, 4.04177623668e+06
 2.90000000000e+01, 1.20000000000e+07, 8.98404414843e+00, 9.13720723293e-06, 4.04712219252e+06
 2.90000000000e+01, 1.30000000000e+07, 9.67700694584e+00, 9.15730818193e-06, 4.05255042109e+06
 2.90000000000e+01, 1.40000000000e+07, 1.03618389591e+01, 9.17832377586e-06, 4.05805911050e+06
 2.90000000000e+01, 1.50000000000e+07, 1.10386424490e+01, 9.20021783455e-06, 4.06364631541e+06
