# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 2.20000000000e+01, 1.50000000000e+07, 1.00444883219e+03, 9.51374790549e-04, 1.06213794492e+05
 2.20000000000e+01, 1.60000000000e+07, 1.00488950444e+03, 9.51204416587e-04, 1.07136449380e+05
 2.20000000000e+01, 1.70000000000e+07, 1.00532926738e+03, 9.51038096151e-04, 1.08058332189e+05
 2.20000000000e+01, 1.80000000000e+07, 1.00576812423e+03, 9.50875824305e-04, 1.08979445788e+05
 2.20000000000e+01, 1.90000000000e+07, 1.00620607814e+03, 9.50717596016e-04, 1.09899793044e+05
 2.20000000000e+01, 2.00000000000e+07, 1.00664313228e+03, 9.50563406150e-04, 1.10819376819e+05
 2.90000000000e+01, 6.00000000000e+06, 9.98565715211e+02, 8.14296021065e-04, 1.27026691364e+05
 2.90000000000e+01, 7.00000000000e+06, 9.99006424363e+02, 8.14271515749e-04, 1.27937169254e+05
 2.90000000000e+01, 8.00000000000e+06, 9.99446210469e+02, 8.14249597716e-04, 1.28846989168e+05
 2.90000000000e+01, 9.00000000000e+06, 9.99885077222e+02, 8.14230267081e-04, 1.29756153047e+05
 2.90000000000e+01, 1.00000000000e+07, 1.00032302828e+03, 8.14213523861e-04, 1.30664662836e+05
 2.90000000000e+01, 1.10000000000e+07, 1.00076006727e+03, 8.14199367973e-04, 1.31572520483e+05
 2.90000000000e+01, 1.20000000000e+07, 1.00119619779e+03, 8.14187799235e-04, 1.32479727937e+05
 2.90000000000e+01, 1.30000000000e+07, 1.00163142340e+03, 8.14178817371e-04, 1.33386287151e+05
 2.90000000000e+01, 1.40000000000e+07, 1.00206574763e+03, 8.14172422013e-04, 1.34292200081e+05
 2.90000000000e+01, 1.50000000000e+07, 1.00249917400e+03, 8.14168612698e-04, 1.35197468683e+05
 2.90000000000e+01, 1.60000000000e+07, 1.00293170598e+03, 8.14167388872e-04, 1.36102094919e+05
 2.90000000000e+01, 1.70000000000e+07, 1.00336334701e+03, 8.14168749892e-04, 1.37006080751e+05
 2.90000000000e+01, 1.80000000000e+07, 1.00379410051e+03, 8.14172695029e-04, 1.37909428144e+05
 2.90000000000e+01, 1.90000000000e+07, 1.00422396989e+03, 8.14179223464e-04, 1.38812139063e+05
 2.90000000000e+01, 2.00000000000e+07, 1.00465295850e+03, 8.14188334295e-04, 1.39714215479e+05
 3.60000000000e+01, 6.00000000000e+06, 9.96270927242e+02, 7.05482076837e-04, 1.56176116604e+05
 3.60000000000e+01, 7.00000000000e+06, 9.96706022076e+02, 7.05570846625e-04, 1.57068858863e+05
 3.60000000000e+01, 8.00000000000e+06, 9.97140196244e+02, 7.05661260607e-04, 1.57961063183e+05
 3.60000000000e+01, 9.00000000000e+06, 9.97573453739e+02, 7.05753320903e-04, 1.58852730736e+05
 3.60000000000e+01, 1.00000000000e+07, 9.98005798518e+02, 7.05847029552e-04, 1.59743862701e+05
 3.60000000000e+01, 1.10000000000e+07, 9.98437234501e+02, 7.05942388503e-04, 1.60634460264e+05
 3.60000000000e+01, 1.20000000000e+07, 9.98867765575e+02, 7.06039399625e-04, 1.61524524619e+05
 3.60000000000e+01, 1.30000000000e+07, 9.99297395591e+02, 7.06138064701e-04, 1.62414056968e+05
 3.60000000000e+01, 1.40000000000e+07, 9.99726128368e+02, 7.06238385435e-04, 1.63303058521e+05
 3.60000000000e+01, 1.50000000000e+07, 1.00015396769e+03, 7.06340363451e-04, 1.64191530494e+05
 3.60000000000e+01, 1.60000000000e+07, 1.00058091732e+03, 7.06444000294e-04, 1.65079474109e+05
 3.60000000000e+01, 1.70000000000e+07, 1.00100698096e+03, 7.06549297432e-04, 1.65966890598e+05
 3.60000000000e+01, 1.80000000000e+07, 1.00143216232e+03, 7.06656256255e-04, 1.66853781199e+05
 3.60000000000e+01, 1.90000000000e+07, 1.00185646505e+03, 7.06764878081e-04, 1.67740147153e+05
 3.60000000000e+01, 2.00000000000e+07, 1.00227989279e+03, 7.06875164153e-04, 1.68625989713e+05
 4.30000000000e+01, 6.00000000000e+06, 9.93601573239e+02, 6.18464518613e-04, 1.85331699473e+05
 4.30000000000e+01, 7.00000000000e+06, 9.94033295316e+02, 6.18624562544e-04, 1.86207800958e+05
 4.30000000000e+01, 8.00000000000e+06, 9.94464088144e+02, 6.18785639983e-04, 1.87083470386e+05
 4.30000000000e+01, 9.00000000000e+06, 9.94893956065e+02, 6.18947754075e-04, 1.87958708268e+05
 4.30000000000e+01, 1.00000000000e+07, 9.95322903383e+02, 6.19110907886e-04, 1.88833515128e+05
 4.30000000000e+01, 1.10000000000e+07, 9.95750934360e+02, 6.19275104407e-04, 1.89707891499e+05
 4.30000000000e+01, 1.20000000000e+07, 9.96178053221e+02, 6.19440346556e-04, 1.90581837930e+05
 4.30000000000e+01, 1.30000000000e+07, 9.96604264151e+02, 6.19606637178e-04, 1.91455354980e+05
 4.30000000000e+01, 1.40000000000e+07, 9.97029571299e+02, 6.19773979045e-04, 1.92328443221e+05
 4.30000000000e+01, 1.50000000000e+07, 9.97453978775e+02, 6.19942374862e-04, 1.93201103234e+05
 4.30000000000e+01, 1.60000000000e+07, 9.97877490656e+02, 6.20111827261e-04, 1.94073335615e+05
 4.30000000000e+01, 1.70000000000e+07, 9.98300110980e+02, 6.20282338809e-04, 1.94945140969e+05
 4.30000000000e+01, 1.80000000000e+07, 9.98721843753e+02, 6.20453912002e-04, 1.95816519910e+05
 4.30000000000e+01, 1.90000000000e+07, 9.99142692943e+02, 6.20626549274e-04, 1.96687473066e+05
 4.30000000000e+01, 2.00000000000e+07, 9.99562662489e+02, 6.20800252990e-04, 1.97558001073e+05
 5.00000000000e+01, 6.00000000000e+06, 9.90592590577e+02, 5.47713698392e-04, 2.14499606523e+05
 5.00000000000e+01, 7.00000000000e+06, 9.91022859273e+02, 5.47918826048e-04, 2.15359847574e+05
 5.00000000000e+01, 8.00000000000e+06, 9.91452180905e+02, 5.48124580433e-04, 2.16219752499e+05
 5.00000000000e+01, 9.00000000000e+06, 9.91880560216e+02, 5.48330965223e-04, 2.17079321209e+05
 5.00000000000e+01, 1.00000000000e+07, 9.92308001903e+02, 5.48537984025e-04, 2.17938553631e+05
 5.00000000000e+01, 1.10000000000e+07, 9.92734510616e+02, 5.48745640379e-04, 2.18797449712e+05
 5.00000000000e+01, 1.20000000000e+07, 9.93160090965e+02, 5.48953937755e-04, 2.19656009413e+05
 5.00000000000e+01, 1.30000000000e+07, 9.93584747513e+02, 5.49162879559e-04, 2.20514232713e+05
 5.00000000000e+01, 1.40000000000e+07, 9.94008484784e+02, 5.49372469134e-04, 2.21372119606e+05
 5.00000000000e+01, 1.50000000000e+07, 9.94431307256e+02, 5.49582709756e-04, 2.22229670103e+05
 5.00000000000e+01, 1.60000000000e+07, 9.94853219370e+02, 5.49793604640e-04, 2.23086884228e+05
 5.00000000000e+01, 1.70000000000e+07, 9.95274225524e+02, 5.50005156939e-04, 2.23943762022e+05
 5.00000000000e+01, 1.80000000000e+07, 9.95694330077e+02, 5.50217369745e-04, 2.24800303542e+05
