HEADER	
'time'	'total volume'
UNITS	
'min'	'cm^3'
657.55	-0.063584468
662.92	-0.054134468
668.23	-0.047134468
673.65	-0.051159468
678.98	-0.064459468
684.33	-0.056934468
689.7	-0.055359468
695.07	-0.051684468
700.37	-0.065159468
705.75	-0.066559468
711.12	-0.058684468
716.48	-0.055884468
727.17	-0.060434468
732.52	-0.064809468
737.9	-0.051334468
743.27	-0.059909468
748.62	-0.060084468
753.97	-0.047134468
759.32	-0.059909468
764.63	-0.051509468
770.02	-0.044859468
770.18	-0.058684468
770.33	0.140640532
770.37	0.135040532
770.4	0.136265532
770.45	0.143615532
770.5	0.139240532
770.55	0.144840532
770.6	0.164265532
770.63	0.210465532
770.67	0.191915532
770.7	0.211690532
770.75	0.215365532
770.78	0.196290532
770.82	0.203290532
770.87	0.187365532
770.92	0.196115532
770.97	0.177740532
771.02	0.196640532
771.07	0.203640532
771.1	0.199265532
771.15	0.212215532
771.2	0.202240532
771.23	0.206965532
771.27	0.206790532
771.3	0.214315532
771.35	0.210290532
771.38	0.207840532
771.43	0.207840532
771.48	0.208715532
771.52	0.203115532
771.57	0.208015532
771.6	0.209765532
771.67	0.203115532
771.72	0.172490532
771.77	0.212915532
771.82	0.188415532
771.87	0.203815532
771.92	0.208540532
771.97	0.205740532
772.03	0.191390532
772.08	0.203465532
772.15	0.195940532
772.23	0.198040532
772.32	0.188065532
772.4	0.195415532
772.48	0.211515532
772.58	0.194540532
772.7	0.194715532
772.82	0.212740532
772.93	0.200840532
773.07	0.192440532
773.22	0.219740532
773.37	0.209240532
773.55	0.211165532
773.73	0.214840532
773.93	0.209765532
774.13	0.225865532
774.37	0.204340532
774.62	0.195765532
774.88	0.207665532
775.17	0.217465532
775.48	0.213615532
775.82	0.221140532
776.18	0.219915532
776.58	0.226390532
777	0.217115532
777.47	0.202240532
778.02	0.217815532
778.52	0.231815532
779.12	0.236190532
779.73	0.214665532
780.42	0.215715532
781.12	0.229890532
781.9	0.246690532
782.75	0.230415532
783.67	0.248090532
784.67	0.255440532
785.73	0.263140532
786.87	0.263665532
788.1	0.273815532
789.45	0.272240532
792.47	0.288690532
794.15	0.306190532
795.98	0.301115532
797.95	0.309690532
800.08	0.316865532
802.33	0.343990532
804.85	0.347490532
807.53	0.358865532
810.42	0.377065532
813.55	0.388965532
816.92	0.397540532
820.57	0.413815532
824.52	0.452840532
828.78	0.480665532
833.32	0.490115532
838.33	0.529140532
843.65	0.552590532
849.02	0.566590532
854.37	0.602990532
859.73	0.626440532
865.05	0.662140532
870.43	0.684540532
875.8	0.713590532
881.15	0.756990532
886.5	0.781140532
891.85	0.815615532
897.17	0.842915532
902.55	0.851140532
907.92	0.888940532
913.28	0.898215532
918.62	0.925165532
923.98	1.004790532
929.3	1.031390532
934.68	1.060965532
940.05	1.078290532
945.42	1.106990532
950.75	1.135690532
956.12	1.147940532
961.43	1.182940532
966.82	1.202365532
972.17	1.204990532
977.52	1.207265532
982.9	1.198865532
988.25	1.206565532
993.57	1.205340532
