HEADER
SW	KRO
0.234293077	0.297295979
0.242248578	0.291982737
0.260829486	0.256129566
0.289967312	0.216787757
0.313754626	0.190674161
0.345315942	0.160346874
0.385466527	0.127632619
0.437904034	0.091607863
0.522342535	0.045553815
0.590305333	0.019025108
0.636881729	0.005868413
0.658881097	0.001985396
0.669430019	0.000774545
