# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min phase pressure = 6000000.0, max phase pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 9.15000000000e+01,   1.00000000000e+07, 6.22943576660e-03, 6.62166381267e-04
 9.15000000000e+01,   1.10000000000e+07, 5.73011688234e-03, 7.27429563197e-04
 9.15000000000e+01,   1.20000000000e+07, 5.31361810081e-03, 7.92472908602e-04
 9.15000000000e+01,   1.30000000000e+07, 4.96082113687e-03, 8.57301169513e-04
 9.15000000000e+01,   1.40000000000e+07, 4.65807010979e-03, 9.21919018292e-04
 9.15000000000e+01,   1.50000000000e+07, 4.39535076712e-03, 9.86331064334e-04
 9.15000000000e+01,   1.60000000000e+07, 4.16515249531e-03, 1.05054186773e-03
 9.15000000000e+01,   1.70000000000e+07, 3.96173197036e-03, 1.11455595033e-03
 9.15000000000e+01,   1.80000000000e+07, 3.78062225535e-03, 1.17837780462e-03
 9.15000000000e+01,   1.90000000000e+07, 3.61829691774e-03, 1.24201190078e-03
 9.15000000000e+01,   2.00000000000e+07, 3.47193490944e-03, 1.30546269223e-03
 9.15000000000e+01,   2.10000000000e+07, 3.33925262249e-03, 1.36873461996e-03
 9.15000000000e+01,   2.20000000000e+07, 3.21838174663e-03, 1.43183211575e-03
 9.15000000000e+01,   2.30000000000e+07, 3.10777898902e-03, 1.49475960462e-03
 9.15000000000e+01,   2.40000000000e+07, 3.00615836308e-03, 1.55752150663e-03
 9.15000000000e+01,   2.50000000000e+07, 2.91243972765e-03, 1.62012223799e-03
 9.15000000000e+01,   2.60000000000e+07, 2.82570920080e-03, 1.68256621202e-03
 9.20000000000e+01,   6.00000000000e+06, 1.00505980693e-02, 3.99736332681e-04
 9.20000000000e+01,   7.00000000000e+06, 8.72414380118e-03, 4.66093961334e-04
 9.20000000000e+01,   8.00000000000e+06, 7.72873125740e-03, 5.32211359851e-04
 9.20000000000e+01,   9.00000000000e+06, 6.95400496383e-03, 5.98093848410e-04
 9.20000000000e+01,   1.00000000000e+07, 6.33375144493e-03, 6.63746557755e-04
 9.20000000000e+01,   1.10000000000e+07, 5.82583474827e-03, 7.29174464558e-04
 9.20000000000e+01,   1.20000000000e+07, 5.40216419727e-03, 7.94382420951e-04
 9.20000000000e+01,   1.30000000000e+07, 5.04329240410e-03, 8.59375179081e-04
 9.20000000000e+01,   1.40000000000e+07, 4.73532841373e-03, 9.24157411415e-04
 9.20000000000e+01,   1.50000000000e+07, 4.46808558512e-03, 9.88733727435e-04
 9.20000000000e+01,   1.60000000000e+07, 4.23392401289e-03, 1.05310868728e-03
 9.20000000000e+01,   1.70000000000e+07, 4.02700150260e-03, 1.11728681278e-03
 9.20000000000e+01,   1.80000000000e+07, 3.84277421810e-03, 1.18127259638e-03
 9.20000000000e+01,   1.90000000000e+07, 3.67765501698e-03, 1.24507050814e-03
 9.20000000000e+01,   2.00000000000e+07, 3.52877428339e-03, 1.30868500138e-03
 9.20000000000e+01,   2.10000000000e+07, 3.39380909296e-03, 1.37212051689e-03
 9.20000000000e+01,   2.20000000000e+07, 3.27085896770e-03, 1.43538148626e-03
 9.20000000000e+01,   2.30000000000e+07, 3.15835404170e-03, 1.49847233434e-03
 9.20000000000e+01,   2.40000000000e+07, 3.05498618465e-03, 1.56139748095e-03
 9.20000000000e+01,   2.50000000000e+07, 2.95965665490e-03, 1.62416134215e-03
 9.20000000000e+01,   2.60000000000e+07, 2.87143583209e-03, 1.68676833107e-03
 9.25000000000e+01,   6.00000000000e+06, 1.02200428534e-02, 4.00669389317e-04
 9.25000000000e+01,   7.00000000000e+06, 8.87083381677e-03, 4.67194542301e-04
 9.25000000000e+01,   8.00000000000e+06, 7.85834475037e-03, 5.33479344271e-04
 9.25000000000e+01,   9.00000000000e+06, 7.07032742269e-03, 5.99529115136e-04
 9.25000000000e+01,   1.00000000000e+07, 6.43943269976e-03, 6.65348985626e-04
 9.25000000000e+01,   1.10000000000e+07, 5.92280193448e-03, 7.30943932559e-04
 9.25000000000e+01,   1.20000000000e+07, 5.49186265163e-03, 7.96318808303e-04
 9.25000000000e+01,   1.30000000000e+07, 5.12683390895e-03, 8.61478365277e-04
 9.25000000000e+01,   1.40000000000e+07, 4.81358649715e-03, 9.26427276211e-04
