-- PRES    FVF      VISC
PVDG
70   1    0.09655518627
70.10169492 0.9998990474 0.09657997935
70.20338983 0.9997982168 0.09660475575
70.30508475 0.9996975078 0.09662951551
70.40677966 0.9995969202 0.09665425865
70.50847458 0.9994964536 0.09667898524
70.61016949 0.9993961077 0.09670369531
70.71186441 0.9992958822 0.0967283889
70.81355932 0.9991957767 0.09675306605
70.91525424 0.9990957909 0.09677772681
71.01694915 0.9989959246 0.09680237121
71.11864407 0.9988961773 0.09682699931
71.22033898 0.9987965488 0.09685161113
71.3220339 0.9986970388 0.09687620671
71.42372881 0.998597647 0.09690078611
71.52542373 0.998498373 0.09692534936
71.62711864 0.9983992165 0.0969498965
71.72881356 0.9983001773 0.09697442757
71.83050847 0.998201255 0.0969989426
71.93220339 0.9981024493 0.09702344165
72.03389831 0.99800376 0.09704792475
72.13559322 0.9979051866 0.09707239193
72.23728814 0.997806729 0.09709684325
72.33898305 0.9977083868 0.09712127873
72.44067797 0.9976101597 0.09714569841
72.54237288 0.9975120474 0.09717010235
72.6440678 0.9974140496 0.09719449056
72.74576271 0.9973161661 0.09721886309
72.84745763 0.9972183965 0.09724321999
72.94915254 0.9971207405 0.09726756128
73.05084746 0.9970231979 0.09729188701
73.15254237 0.9969257683 0.09731619722
73.25423729 0.9968284515 0.09734049193
73.3559322 0.9967312472 0.0973647712
73.45762712 0.9966341551 0.09738903505
73.55932203 0.9965371748 0.09741328352
73.66101695 0.9964403062 0.09743751666
73.76271186 0.996343549 0.09746173449
73.86440678 0.9962469028 0.09748593706
73.96610169 0.9961503674 0.09751012439
74.06779661 0.9960539425 0.09753429654
74.16949153 0.9959576278 0.09755845353
74.27118644 0.995861423 0.0975825954
74.37288136 0.9957653279 0.09760672218
74.47457627 0.9956693422 0.09763083392
74.57627119 0.9955734656 0.09765493065
74.6779661 0.9954776979 0.0976790124
74.77966102 0.9953820387 0.0977030792
74.88135593 0.9952864879 0.09772713111
74.98305085 0.995191045 0.09775116814
75.08474576 0.9950957099 0.09777519033
75.18644068 0.9950004823 0.09779919773
75.28813559 0.994905362 0.09782319036
75.38983051 0.9948103486 0.09784716826
75.49152542 0.9947154419 0.09787113146
75.59322034 0.9946206416 0.09789508
75.69491525 0.9945259475 0.09791901391
75.79661017 0.9944313593 0.09794293323
75.89830508 0.9943368768 0.09796683799
76   0.9942424996 0.09799072822
/
