# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.10000000000e+01, 1.80000000000e+07, 1.09559490661e+01, 1.04144639999e-05, 4.99208259033e+06
 9.10000000000e+01, 1.90000000000e+07, 1.15087413931e+01, 1.04326052730e-05, 4.99870702196e+06
 9.10000000000e+01, 2.00000000000e+07, 1.20561351511e+01, 1.04513666652e-05, 5.00537398809e+06
 9.10000000000e+01, 2.10000000000e+07, 1.25982021275e+01, 1.04707279572e-05, 5.01208235727e+06
 9.10000000000e+01, 2.20000000000e+07, 1.31350138378e+01, 1.04906695530e-05, 5.01883099125e+06
 9.10000000000e+01, 2.30000000000e+07, 1.36666414646e+01, 1.05111724648e-05, 5.02561875171e+06
 9.10000000000e+01, 2.40000000000e+07, 1.41931557966e+01, 1.05322182979e-05, 5.03244450590e+06
 9.10000000000e+01, 2.50000000000e+07, 1.47146271710e+01, 1.05537892349e-05, 5.03930713138e+06
 9.10000000000e+01, 2.60000000000e+07, 1.52311254176e+01, 1.05758680208e-05, 5.04620551998e+06
 9.15000000000e+01, 6.00000000000e+06, 3.86988793334e+00, 1.02629845629e-05, 4.92353449006e+06
 9.15000000000e+01, 7.00000000000e+06, 4.49228597905e+00, 1.02718300449e-05, 4.92958609104e+06
 9.15000000000e+01, 8.00000000000e+06, 5.10843296418e+00, 1.02815905386e-05, 4.93568837522e+06
 9.15000000000e+01, 9.00000000000e+06, 5.71840176635e+00, 1.02922373389e-05, 4.94184146310e+06
 9.15000000000e+01, 1.00000000000e+07, 6.32226481443e+00, 1.03037425265e-05, 4.94804523218e+06
 9.15000000000e+01, 1.10000000000e+07, 6.92009428373e+00, 1.03160789539e-05, 4.95429935393e+06
 9.15000000000e+01, 1.20000000000e+07, 7.51196223042e+00, 1.03292202315e-05, 4.96060332641e+06
 9.15000000000e+01, 1.30000000000e+07, 8.09794067680e+00, 1.03431407146e-05, 4.96695650288e+06
 9.15000000000e+01, 1.40000000000e+07, 8.67810165755e+00, 1.03578154904e-05, 4.97335811691e+06
 9.15000000000e+01, 1.50000000000e+07, 9.25251723493e+00, 1.03732203653e-05, 4.97980730436e+06
 9.15000000000e+01, 1.60000000000e+07, 9.82125949030e+00, 1.03893318516e-05, 4.98630312256e+06
 9.15000000000e+01, 1.70000000000e+07, 1.03844004973e+01, 1.04061271543e-05, 4.99284456697e+06
 9.15000000000e+01, 1.80000000000e+07, 1.09420122819e+01, 1.04235841569e-05, 4.99943058569e+06
 9.15000000000e+01, 1.90000000000e+07, 1.14941667727e+01, 1.04416814081e-05, 5.00606009197e+06
 9.15000000000e+01, 2.00000000000e+07, 1.20409357452e+01, 1.04603981068e-05, 5.01273197497e+06
 9.15000000000e+01, 2.10000000000e+07, 1.25823907625e+01, 1.04797140878e-05, 5.01944510902e+06
 9.15000000000e+01, 2.20000000000e+07, 1.31186031140e+01, 1.04996098067e-05, 5.02619836154e+06
 9.15000000000e+01, 2.30000000000e+07, 1.36496437543e+01, 1.05200663249e-05, 5.03299059969e+06
 9.15000000000e+01, 2.40000000000e+07, 1.41755832438e+01, 1.05410652946e-05, 5.03982069604e+06
 9.15000000000e+01, 2.50000000000e+07, 1.46964916904e+01, 1.05625889431e-05, 5.04668753331e+06
 9.15000000000e+01, 2.60000000000e+07, 1.52124386958e+01, 1.05846200580e-05, 5.05359000829e+06
 9.20000000000e+01, 6.00000000000e+06, 3.86471238691e+00, 1.02725539440e-05, 4.93080732341e+06
 9.20000000000e+01, 7.00000000000e+06, 4.48630249230e+00, 1.02813687489e-05, 4.93686630233e+06
 9.20000000000e+01, 8.00000000000e+06, 5.10165678386e+00, 1.02910970431e-05, 4.94297574828e+06
 9.20000000000e+01, 9.00000000000e+06, 5.71084799349e+00, 1.03017102073e-05, 4.94913578374e+06
 9.20000000000e+01, 1.00000000000e+07, 6.31394839684e+00, 1.03131804059e-05, 4.95534628923e+06
 9.20000000000e+01, 1.10000000000e+07, 6.91103000785e+00, 1.03254805719e-05, 4.96160694008e+06
 9.20000000000e+01, 1.20000000000e+07, 7.50216471283e+00, 1.03385843934e-05, 4.96791723888e+06
 9.20000000000e+01, 1.30000000000e+07, 8.08742435590e+00, 1.03524663009e-05, 4.97427654390e+06
 9.20000000000e+01, 1.40000000000e+07, 8.66688078545e+00, 1.03671014539e-05, 4.98068409414e+06
 9.20000000000e+01, 1.50000000000e+07, 9.24060587002e+00, 1.03824657283e-05, 4.98713903111e+06
 9.20000000000e+01, 1.60000000000e+07, 9.80867149036e+00, 1.03985357032e-05, 4.99364041799e+06
